,cromosomas,fitness
0,"-1.1524    1.34713   1.4255   -4.14978  -1.24156   2.31561   0.11708
  1.76881   0.36181   0.056585  0.29786   0.32066   0.59634   0.05078
 -0.22983   0.22525  -2.22393   0.34263  -0.80424  -1.54698  -0.27278
 -0.07002   1.74076  -1.75074  -1.64398  -0.13025  -2.09423   0.61628
  0.2758   -0.13484  -0.32705  -0.3359  ",126.54298185543337
1," 1.1524    1.34713   1.4255   -4.14978  -1.24156   2.31561   0.11708
  1.76881   0.36181   0.056585  0.29786   0.32066   0.59634  -0.04162
 -0.22983   0.22525  -2.22393   0.34263  -0.80424  -1.54698  -0.27278
 -0.07002   1.74076   1.75074  -1.64398  -0.13025  -2.09423   0.61628
  0.2758   -0.13483  -0.32705  -0.3359  ",126.54298185543337
2," 1.1524    1.34713   1.4255   -4.14978  -1.24156   2.31561   0.11708
  1.76881   0.36181   0.056585  0.29786   0.32066   0.59634  -0.04162
 -0.22983   0.22525  -2.22393   0.34263  -0.80424  -1.54698  -0.27278
 -0.07002   1.74076  -1.75074  -1.64398  -0.13025  -2.09423   0.61628
  0.2758   -0.13483  -0.32705  -0.3359  ",126.54298185543337
3," 1.1524    1.34713   1.4255   -4.14978  -1.24156   2.31561   0.11708
  1.76881   0.36181   0.056585  0.29786   0.32066   0.59634  -0.04162
 -0.22983   0.22525  -2.22393   0.34263  -0.80424  -1.54698  -0.27278
 -0.07002   1.74076  -1.75074  -1.64398  -0.13025  -2.09423   0.61628
  0.2758   -0.13484  -0.32705  -0.3359  ",126.54298185543337
4," 1.1524   1.34713  1.4255  -4.14978 -1.24156  2.31561  0.11708  1.76881
  0.36181  0.05658  0.29786  0.32066  0.59634 -0.04162 -0.22983  0.22525
 -2.22393  0.34263 -0.80424 -1.54698 -0.27278 -0.07002  1.74076 -1.75074
 -1.64398 -0.13025 -2.09423  0.61628  0.2758  -0.13484 -0.32705 -0.3359 ",126.54298185543337
5,"-1.370772  1.727128  1.628825 -4.495004  1.58739   3.080241  0.5102
  1.949194  0.36181  -0.440244  0.208417 -0.526148  0.438454 -0.1645
 -0.061573 -0.242593 -2.013009 -0.046271 -0.147707 -1.019313 -0.434926
  0.464955  2.30247  -1.978223 -1.955161  0.126024 -2.431642  0.927028
  0.054197 -0.998913 -0.98241  -0.711307",136.64357526327956
6,"-1.364685  0.03641   1.432216 -3.483897 -1.395846  2.507558  0.447286
  0.438099  0.36181   0.393227  0.363177  0.590976  0.569916 -0.797842
 -1.15972  -0.065528 -2.919529  0.858916 -0.07754  -0.577697 -1.12742
 -1.283821  2.669221 -2.077468 -0.752267 -0.51113  -2.854457  1.550258
  1.819192 -0.13483  -0.033106 -0.470715",139.46009797398798
7,"-1.274332  1.693667  1.435261 -3.652097 -1.94316   2.304612  0.248259
  1.350363  0.949291  0.05658   1.089306 -0.268526  1.334601 -0.678879
 -0.540102  0.291309 -3.358205 -0.222097 -0.240596 -1.513232 -0.27278
  0.401403  1.74076  -1.353508 -1.869843  0.445252 -2.09423   1.259713
  0.866355 -0.467064  0.520418 -0.896676",153.79182111421366
8,"-1.1524    1.34713   1.4255   -4.14978  -1.24156   2.31561   0.11708
  1.76881   0.36181   0.056585  0.29786   0.32066   0.59634  -0.04162
 -0.22983   0.22525  -2.22393   0.34263  -0.80424  -1.54698  -0.27278
 -0.07002   1.74076  -1.75074  -1.64398  -0.13025  -2.09423   0.61628
  0.2758   -0.13484  -0.32705  -0.3359  ",154.36629182558227
9,"-1.1524    1.34713   1.4255   -4.14978  -1.24156   2.31561   0.11708
  1.76881   0.36181   0.056585  0.29786   0.32066   0.59634  -0.04162
 -0.22983   0.22525  -2.22393   0.34263  -0.80424  -1.54698  -0.27278
 -0.07002   1.74076  -1.75074  -1.64398  -0.13025  -2.09423   0.61628
  0.2758   -0.13484  -0.32705  -0.3359  ",154.36629182558227
